product_option_id	stock_quantity
3	200
6	200
9	200
12	200
15	200
1	150
2	130
5	130
8	130
11	130
14	130
4	105
7	105
10	105
13	105
9005	99
9956	99
2730	99
7187	99
12445	99
8221	99
14082	99
9732	99
8397	99
12390	99
3802	99
4273	99
10256	99
3363	99
2505	99
16346	99
8963	99
13864	99
8561	99
7331	99
9963	99
541	99
4035	99
3069	99
9209	99
4208	99
10967	99
10223	99
10071	99
748	99
6517	99
636	99
7765	99
12192	99
11556	99
13929	99
1752	99
13893	99
4366	99
8347	99
336	99
9307	99
5821	99
16415	99
15189	99
3452	99
6731	99
2251	99
8649	99
2083	99
16053	99
951	99
12104	99
11415	99
8596	99
10547	99
10083	99
3488	99
3575	99
11014	99
14079	99
3664	99
12520	99
12066	99
9148	99
5931	99
4792	99
5778	99
13199	99
7911	99
11512	99
4029	99
1570	99
10132	99
8432	99
14487	99
12777	99
15835	99
6772	99
6958	99
6359	99
16257	99
7705	99
3303	99
3872	99
14452	99
16259	99
4327	99
2605	99
7432	99
16447	99
8422	99
14472	99
4755	99
8012	99
9760	99
9504	99
9661	99
2063	99
12557	99
12634	99
2346	99
13380	99
824	99
13664	99
6351	99
15410	99
1016	99
13992	99
8169	99
14287	99
7237	99
15345	99
1276	99
1273	99
13484	99
2416	99
8781	99
11443	99
14392	99
11769	99
2777	99
11601	99
9811	99
7275	99
2790	99
9476	99
10703	99
13375	99
3546	99
11888	99
9413	99
2977	99
12044	99
6073	99
12920	99
11433	99
2267	99
4879	99
5143	99
11261	99
5767	99
6594	99
7623	99
11522	99
4435	99
6101	99
12472	99
6853	99
13662	99
16321	99
3218	99
7244	99
16285	99
14391	99
1880	99
784	99
10008	99
4233	99
11632	99
4297	99
2139	99
5735	99
7043	99
14862	99
12902	99
7334	99
7894	99
5528	99
4377	99
8197	99
12857	99
1511	99
15382	99
3816	99
15714	99
16747	99
3722	99
1398	99
13594	99
9337	99
14746	99
9905	99
1389	99
11437	99
